Commercial Part No,Part No,Reference,Flash,RAM
STM32C011D6Y3TR,STM32C011D6,STM32C011D6Yx,32 kBytes,6 kBytes
STM32C011D6Y6TR,STM32C011D6,STM32C011D6Yx,32 kBytes,6 kBytes
STM32C011F4P3,STM32C011F4,STM32C011F4Px,16 kBytes,6 kBytes
STM32C011F4P6,STM32C011F4,STM32C011F4Px,16 kBytes,6 kBytes
STM32C011F4U3,STM32C011F4,STM32C011F4Ux,16 kBytes,6 kBytes
STM32C011F4U6TR,STM32C011F4,STM32C011F4Ux,16 kBytes,6 kBytes
STM32C011F6P3,STM32C011F6,STM32C011F6Px,32 kBytes,6 kBytes
STM32C011F6P6,STM32C011F6,STM32C011F6Px,32 kBytes,6 kBytes
STM32C011F6U3,STM32C011F6,STM32C011F6Ux,32 kBytes,6 kBytes
STM32C011F6U6TR,STM32C011F6,STM32C011F6Ux,32 kBytes,6 kBytes
STM32C011J4M3,STM32C011J4,STM32C011J4Mx,16 kBytes,6 kBytes
STM32C011J4M6,STM32C011J4,STM32C011J4Mx,16 kBytes,6 kBytes
STM32C011J6M3,STM32C011J6,STM32C011J6Mx,32 kBytes,6 kBytes
STM32C011J6M6,STM32C011J6,STM32C011J6Mx,32 kBytes,6 kBytes
STM32C031C4T3,STM32C031C4,STM32C031C4Tx,16 kBytes,12 kBytes
STM32C031C4T6,STM32C031C4,STM32C031C4Tx,16 kBytes,12 kBytes
STM32C031C4U3,STM32C031C4,STM32C031C4Ux,16 kBytes,12 kBytes
STM32C031C4U6,STM32C031C4,STM32C031C4Ux,16 kBytes,12 kBytes
STM32C031C6T3,STM32C031C6,STM32C031C6Tx,32 kBytes,12 kBytes
STM32C031C6T6,STM32C031C6,STM32C031C6Tx,32 kBytes,12 kBytes
STM32C031C6U3,STM32C031C6,STM32C031C6Ux,32 kBytes,12 kBytes
STM32C031C6U6,STM32C031C6,STM32C031C6Ux,32 kBytes,12 kBytes
STM32C031F4P3,STM32C031F4,STM32C031F4Px,16 kBytes,12 kBytes
STM32C031F4P6,STM32C031F4,STM32C031F4Px,16 kBytes,12 kBytes
STM32C031F6P3,STM32C031F6,STM32C031F6Px,32 kBytes,12 kBytes
STM32C031F6P6,STM32C031F6,STM32C031F6Px,32 kBytes,12 kBytes
STM32C031G4U3,STM32C031G4,STM32C031G4Ux,16 kBytes,12 kBytes
STM32C031G4U6,STM32C031G4,STM32C031G4Ux,16 kBytes,12 kBytes
STM32C031G6U3,STM32C031G6,STM32C031G6Ux,32 kBytes,12 kBytes
STM32C031G6U6,STM32C031G6,STM32C031G6Ux,32 kBytes,12 kBytes
STM32C031K4T3,STM32C031K4,STM32C031K4Tx,16 kBytes,12 kBytes
STM32C031K4T6,STM32C031K4,STM32C031K4Tx,16 kBytes,12 kBytes
STM32C031K4U3,STM32C031K4,STM32C031K4Ux,16 kBytes,12 kBytes
STM32C031K4U6,STM32C031K4,STM32C031K4Ux,16 kBytes,12 kBytes
STM32C031K6T3,STM32C031K6,STM32C031K6Tx,32 kBytes,12 kBytes
STM32C031K6T6,STM32C031K6,STM32C031K6Tx,32 kBytes,12 kBytes
STM32C031K6U3,STM32C031K6,STM32C031K6Ux,32 kBytes,12 kBytes
STM32C031K6U6,STM32C031K6,STM32C031K6Ux,32 kBytes,12 kBytes
STM32F030C6T6,STM32F030C6,STM32F030C6Tx,32 kBytes,4 kBytes
STM32F030C6T6TR,STM32F030C6,STM32F030C6Tx,32 kBytes,4 kBytes
STM32F030C8T6,STM32F030C8,STM32F030C8Tx,64 kBytes,8 kBytes
STM32F030C8T6TR,STM32F030C8,STM32F030C8Tx,64 kBytes,8 kBytes
STM32F030CCT6,STM32F030CC,STM32F030CCTx,256 kBytes,32 kBytes
STM32F030CCT6TR,STM32F030CC,STM32F030CCTx,256 kBytes,32 kBytes
STM32F030F4P6,STM32F030F4,STM32F030F4Px,16 kBytes,4 kBytes
STM32F030F4P6TR,STM32F030F4,STM32F030F4Px,16 kBytes,4 kBytes
STM32F030K6T6,STM32F030K6,STM32F030K6Tx,32 kBytes,4 kBytes
STM32F030K6T6TR,STM32F030K6,STM32F030K6Tx,32 kBytes,4 kBytes
STM32F030R8T6,STM32F030R8,STM32F030R8Tx,64 kBytes,8 kBytes
STM32F030R8T6TR,STM32F030R8,STM32F030R8Tx,64 kBytes,8 kBytes
STM32F030RCT6,STM32F030RC,STM32F030RCTx,256 kBytes,32 kBytes
STM32F030RCT6TR,STM32F030RC,STM32F030RCTx,256 kBytes,32 kBytes
STM32F031C4T6,STM32F031C4,STM32F031C4Tx,16 kBytes,4 kBytes
STM32F031C4T6TR,STM32F031C4,STM32F031C4Tx,16 kBytes,4 kBytes
STM32F031C6T6,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T6TR,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T7,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T7TR,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031E6Y6TR,STM32F031E6,STM32F031E6Yx,32 kBytes,4 kBytes
STM32F031F4P6,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F4P6TR,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F4P7,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F6P6,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P6TR,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P7,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P7TR,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031G4U6,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U6TR,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U7,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U7TR,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G6U6,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U6TR,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U7,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U7TR,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031K4U6,STM32F031K4,STM32F031K4Ux,16 kBytes,4 kBytes
STM32F031K4U6TR,STM32F031K4,STM32F031K4Ux,16 kBytes,4 kBytes
STM32F031K6T6,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6T7,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6T7TR,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6U6,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U6TR,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U7,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U7TR,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F038C6T6,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038C6T6TR,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038C6T7,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038E6Y6TR,STM32F038E6,STM32F038E6Yx,32 kBytes,4 kBytes
STM32F038F6P6,STM32F038F6,STM32F038F6Px,32 kBytes,4 kBytes
STM32F038F6P6TR,STM32F038F6,STM32F038F6Px,32 kBytes,4 kBytes
STM32F038G6U6,STM32F038G6,STM32F038G6Ux,32 kBytes,4 kBytes
STM32F038G6U6TR,STM32F038G6,STM32F038G6Ux,32 kBytes,4 kBytes
STM32F038K6U6,STM32F038K6,STM32F038K6Ux,32 kBytes,4 kBytes
STM32F042C4T6,STM32F042C4,STM32F042C4Tx,16 kBytes,6 kBytes
STM32F042C4U6,STM32F042C4,STM32F042C4Ux,16 kBytes,6 kBytes
STM32F042C6T6,STM32F042C6,STM32F042C6Tx,32 kBytes,6 kBytes
STM32F042C6T6TR,STM32F042C6,STM32F042C6Tx,32 kBytes,6 kBytes
STM32F042C6T7,STM32F042C6,STM32F042C6Tx,32 kBytes,6 kBytes
STM32F042C6U6,STM32F042C6,STM32F042C6Ux,32 kBytes,6 kBytes
STM32F042C6U7,STM32F042C6,STM32F042C6Ux,32 kBytes,6 kBytes
STM32F042F4P6,STM32F042F4,STM32F042F4Px,16 kBytes,6 kBytes
STM32F042F4P6TR,STM32F042F4,STM32F042F4Px,16 kBytes,6 kBytes
STM32F042F6P6,STM32F042F6,STM32F042F6Px,32 kBytes,6 kBytes
STM32F042F6P6TR,STM32F042F6,STM32F042F6Px,32 kBytes,6 kBytes
STM32F042F6P7,STM32F042F6,STM32F042F6Px,32 kBytes,6 kBytes
STM32F042F6P7TR,STM32F042F6,STM32F042F6Px,32 kBytes,6 kBytes
STM32F042G4U6,STM32F042G4,STM32F042G4Ux,16 kBytes,6 kBytes
STM32F042G4U6TR,STM32F042G4,STM32F042G4Ux,16 kBytes,6 kBytes
STM32F042G6U6,STM32F042G6,STM32F042G6Ux,32 kBytes,6 kBytes
STM32F042G6U6TR,STM32F042G6,STM32F042G6Ux,32 kBytes,6 kBytes
STM32F042G6U7,STM32F042G6,STM32F042G6Ux,32 kBytes,6 kBytes
STM32F042K4T6,STM32F042K4,STM32F042K4Tx,16 kBytes,6 kBytes
STM32F042K4T6TR,STM32F042K4,STM32F042K4Tx,16 kBytes,6 kBytes
STM32F042K4U6,STM32F042K4,STM32F042K4Ux,16 kBytes,6 kBytes
STM32F042K6T6,STM32F042K6,STM32F042K6Tx,32 kBytes,6 kBytes
STM32F042K6T6TR,STM32F042K6,STM32F042K6Tx,32 kBytes,6 kBytes
STM32F042K6T7,STM32F042K6,STM32F042K6Tx,32 kBytes,6 kBytes
STM32F042K6T7TR,STM32F042K6,STM32F042K6Tx,32 kBytes,6 kBytes
STM32F042K6U6,STM32F042K6,STM32F042K6Ux,32 kBytes,6 kBytes
STM32F042K6U6TR,STM32F042K6,STM32F042K6Ux,32 kBytes,6 kBytes
STM32F042K6U7,STM32F042K6,STM32F042K6Ux,32 kBytes,6 kBytes
STM32F042T6Y6TR,STM32F042T6,STM32F042T6Yx,32 kBytes,6 kBytes
STM32F048C6U6,STM32F048C6,STM32F048C6Ux,32 kBytes,6 kBytes
STM32F048C6U6TR,STM32F048C6,STM32F048C6Ux,32 kBytes,6 kBytes
STM32F048G6U6,STM32F048G6,STM32F048G6Ux,32 kBytes,6 kBytes
STM32F048T6Y6TR,STM32F048T6,STM32F048T6Yx,32 kBytes,6 kBytes
STM32F051C4T6,STM32F051C4,STM32F051C4Tx,16 kBytes,8 kBytes
STM32F051C4T6TR,STM32F051C4,STM32F051C4Tx,16 kBytes,8 kBytes
STM32F051C4U6,STM32F051C4,STM32F051C4Ux,16 kBytes,8 kBytes
STM32F051C6T6,STM32F051C6,STM32F051C6Tx,32 kBytes,8 kBytes
STM32F051C6T6TR,STM32F051C6,STM32F051C6Tx,32 kBytes,8 kBytes
STM32F051C6T7,STM32F051C6,STM32F051C6Tx,32 kBytes,8 kBytes
STM32F051C6T7TR,STM32F051C6,STM32F051C6Tx,32 kBytes,8 kBytes
STM32F051C6U6,STM32F051C6,STM32F051C6Ux,32 kBytes,8 kBytes
STM32F051C8T6,STM32F051C8,STM32F051C8Tx,64 kBytes,8 kBytes
STM32F051C8T6TR,STM32F051C8,STM32F051C8Tx,64 kBytes,8 kBytes
STM32F051C8T7,STM32F051C8,STM32F051C8Tx,64 kBytes,8 kBytes
STM32F051C8T7TR,STM32F051C8,STM32F051C8Tx,64 kBytes,8 kBytes
STM32F051C8U6,STM32F051C8,STM32F051C8Ux,64 kBytes,8 kBytes
STM32F051C8U6TR,STM32F051C8,STM32F051C8Ux,64 kBytes,8 kBytes
STM32F051C8U7,STM32F051C8,STM32F051C8Ux,64 kBytes,8 kBytes
STM32F051C8U7TR,STM32F051C8,STM32F051C8Ux,64 kBytes,8 kBytes
STM32F051K4T6,STM32F051K4,STM32F051K4Tx,16 kBytes,8 kBytes
STM32F051K4T6TR,STM32F051K4,STM32F051K4Tx,16 kBytes,8 kBytes
STM32F051K4U6,STM32F051K4,STM32F051K4Ux,16 kBytes,8 kBytes
STM32F051K4U6TR,STM32F051K4,STM32F051K4Ux,16 kBytes,8 kBytes
STM32F051K4U7,STM32F051K4,STM32F051K4Ux,16 kBytes,8 kBytes
STM32F051K4U7TR,STM32F051K4,STM32F051K4Ux,16 kBytes,8 kBytes
STM32F051K6T6,STM32F051K6,STM32F051K6Tx,32 kBytes,8 kBytes
STM32F051K6T6TR,STM32F051K6,STM32F051K6Tx,32 kBytes,8 kBytes
STM32F051K6T7,STM32F051K6,STM32F051K6Tx,32 kBytes,8 kBytes
STM32F051K6T7TR,STM32F051K6,STM32F051K6Tx,32 kBytes,8 kBytes
STM32F051K6U6,STM32F051K6,STM32F051K6Ux,32 kBytes,8 kBytes
STM32F051K6U6TR,STM32F051K6,STM32F051K6Ux,32 kBytes,8 kBytes
STM32F051K6U7,STM32F051K6,STM32F051K6Ux,32 kBytes,8 kBytes
STM32F051K6U7TR,STM32F051K6,STM32F051K6Ux,32 kBytes,8 kBytes
STM32F051K8T6,STM32F051K8,STM32F051K8Tx,64 kBytes,8 kBytes
STM32F051K8T6TR,STM32F051K8,STM32F051K8Tx,64 kBytes,8 kBytes
STM32F051K8T7,STM32F051K8,STM32F051K8Tx,64 kBytes,8 kBytes
STM32F051K8U6,STM32F051K8,STM32F051K8Ux,64 kBytes,8 kBytes
STM32F051K8U6TR,STM32F051K8,STM32F051K8Ux,64 kBytes,8 kBytes
STM32F051K8U7,STM32F051K8,STM32F051K8Ux,64 kBytes,8 kBytes
STM32F051K8U7TR,STM32F051K8,STM32F051K8Ux,64 kBytes,8 kBytes
STM32F051R4T6,STM32F051R4,STM32F051R4Tx,16 kBytes,8 kBytes
STM32F051R4T6TR,STM32F051R4,STM32F051R4Tx,16 kBytes,8 kBytes
STM32F051R6T6,STM32F051R6,STM32F051R6Tx,32 kBytes,8 kBytes
STM32F051R6T6TR,STM32F051R6,STM32F051R6Tx,32 kBytes,8 kBytes
STM32F051R6T7,STM32F051R6,STM32F051R6Tx,32 kBytes,8 kBytes
STM32F051R6T7TR,STM32F051R6,STM32F051R6Tx,32 kBytes,8 kBytes
STM32F051R8H6,STM32F051R8,STM32F051R8Hx,64 kBytes,8 kBytes
STM32F051R8H6TR,STM32F051R8,STM32F051R8Hx,64 kBytes,8 kBytes
STM32F051R8H7,STM32F051R8,STM32F051R8Hx,64 kBytes,8 kBytes
STM32F051R8H7TR,STM32F051R8,STM32F051R8Hx,64 kBytes,8 kBytes
STM32F051R8T6,STM32F051R8,STM32F051R8Tx,64 kBytes,8 kBytes
STM32F051R8T6TR,STM32F051R8,STM32F051R8Tx,64 kBytes,8 kBytes
STM32F051R8T7,STM32F051R8,STM32F051R8Tx,64 kBytes,8 kBytes
STM32F051R8T7TR,STM32F051R8,STM32F051R8Tx,64 kBytes,8 kBytes
STM32F051T8Y6TR,STM32F051T8,STM32F051T8Yx,64 kBytes,8 kBytes
STM32F058C8U6,STM32F058C8,STM32F058C8Ux,64 kBytes,8 kBytes
STM32F058R8H6,STM32F058R8,STM32F058R8Hx,64 kBytes,8 kBytes
STM32F058R8H6TR,STM32F058R8,STM32F058R8Hx,64 kBytes,8 kBytes
STM32F058R8H7,STM32F058R8,STM32F058R8Hx,64 kBytes,8 kBytes
STM32F058R8H7TR,STM32F058R8,STM32F058R8Hx,64 kBytes,8 kBytes
STM32F058R8T6,STM32F058R8,STM32F058R8Tx,64 kBytes,8 kBytes
STM32F058T8Y6TR,STM32F058T8,STM32F058T8Yx,64 kBytes,8 kBytes
STM32F070C6T6,STM32F070C6,STM32F070C6Tx,32 kBytes,6 kBytes
STM32F070C6T6TR,STM32F070C6,STM32F070C6Tx,32 kBytes,6 kBytes
STM32F070CBT6,STM32F070CB,STM32F070CBTx,128 kBytes,16 kBytes
STM32F070CBT6TR,STM32F070CB,STM32F070CBTx,128 kBytes,16 kBytes
STM32F070F6P6,STM32F070F6,STM32F070F6Px,32 kBytes,6 kBytes
STM32F070F6P6TR,STM32F070F6,STM32F070F6Px,32 kBytes,6 kBytes
STM32F070RBT6,STM32F070RB,STM32F070RBTx,128 kBytes,16 kBytes
STM32F070RBT6TR,STM32F070RB,STM32F070RBTx,128 kBytes,16 kBytes
STM32F071C8T6,STM32F071C8,STM32F071C8Tx,64 kBytes,16 kBytes
STM32F071C8T6TR,STM32F071C8,STM32F071C8Tx,64 kBytes,16 kBytes
STM32F071C8U6,STM32F071C8,STM32F071C8Ux,64 kBytes,16 kBytes
STM32F071C8U7,STM32F071C8,STM32F071C8Ux,64 kBytes,16 kBytes
STM32F071C8U7TR,STM32F071C8,STM32F071C8Ux,64 kBytes,16 kBytes
STM32F071CBT6,STM32F071CB,STM32F071CBTx,128 kBytes,16 kBytes
STM32F071CBT6TR,STM32F071CB,STM32F071CBTx,128 kBytes,16 kBytes
STM32F071CBT7,STM32F071CB,STM32F071CBTx,128 kBytes,16 kBytes
STM32F071CBT7TR,STM32F071CB,STM32F071CBTx,128 kBytes,16 kBytes
STM32F071CBU6,STM32F071CB,STM32F071CBUx,128 kBytes,16 kBytes
STM32F071CBU6TR,STM32F071CB,STM32F071CBUx,128 kBytes,16 kBytes
STM32F071CBU7,STM32F071CB,STM32F071CBUx,128 kBytes,16 kBytes
STM32F071CBU7TR,STM32F071CB,STM32F071CBUx,128 kBytes,16 kBytes
STM32F071CBY6TR,STM32F071CB,STM32F071CBYx,128 kBytes,16 kBytes
STM32F071RBT6,STM32F071RB,STM32F071RBTx,128 kBytes,16 kBytes
STM32F071RBT6TR,STM32F071RB,STM32F071RBTx,128 kBytes,16 kBytes
STM32F071RBT7TR,STM32F071RB,STM32F071RBTx,128 kBytes,16 kBytes
STM32F071V8H6,STM32F071V8,STM32F071V8Hx,64 kBytes,16 kBytes
STM32F071V8T6,STM32F071V8,STM32F071V8Tx,64 kBytes,16 kBytes
STM32F071V8T6TR,STM32F071V8,STM32F071V8Tx,64 kBytes,16 kBytes
STM32F071V8T7,STM32F071V8,STM32F071V8Tx,64 kBytes,16 kBytes
STM32F071V8T7TR,STM32F071V8,STM32F071V8Tx,64 kBytes,16 kBytes
STM32F071VBH6,STM32F071VB,STM32F071VBHx,128 kBytes,16 kBytes
STM32F071VBT6,STM32F071VB,STM32F071VBTx,128 kBytes,16 kBytes
STM32F071VBT6TR,STM32F071VB,STM32F071VBTx,128 kBytes,16 kBytes
STM32F072C8T6,STM32F072C8,STM32F072C8Tx,64 kBytes,16 kBytes
STM32F072C8T6TR,STM32F072C8,STM32F072C8Tx,64 kBytes,16 kBytes
STM32F072C8T7,STM32F072C8,STM32F072C8Tx,64 kBytes,16 kBytes
STM32F072C8U6,STM32F072C8,STM32F072C8Ux,64 kBytes,16 kBytes
STM32F072C8U6TR,STM32F072C8,STM32F072C8Ux,64 kBytes,16 kBytes
STM32F072C8U7,STM32F072C8,STM32F072C8Ux,64 kBytes,16 kBytes
STM32F072CBT6,STM32F072CB,STM32F072CBTx,128 kBytes,16 kBytes
STM32F072CBT6TR,STM32F072CB,STM32F072CBTx,128 kBytes,16 kBytes
STM32F072CBT7,STM32F072CB,STM32F072CBTx,128 kBytes,16 kBytes
STM32F072CBU6,STM32F072CB,STM32F072CBUx,128 kBytes,16 kBytes
STM32F072CBU6TR,STM32F072CB,STM32F072CBUx,128 kBytes,16 kBytes
STM32F072CBU7,STM32F072CB,STM32F072CBUx,128 kBytes,16 kBytes
STM32F072CBU7TR,STM32F072CB,STM32F072CBUx,128 kBytes,16 kBytes
STM32F072CBY6TR,STM32F072CB,STM32F072CBYx,128 kBytes,16 kBytes
STM32F072CBY7TR,STM32F072CB,STM32F072CBYx,128 kBytes,16 kBytes
STM32F072R8T6,STM32F072R8,STM32F072R8Tx,64 kBytes,16 kBytes
STM32F072R8T6TR,STM32F072R8,STM32F072R8Tx,64 kBytes,16 kBytes
STM32F072R8T7,STM32F072R8,STM32F072R8Tx,64 kBytes,16 kBytes
STM32F072RBH6,STM32F072RB,STM32F072RBHx,128 kBytes,16 kBytes
STM32F072RBH6TR,STM32F072RB,STM32F072RBHx,128 kBytes,16 kBytes
STM32F072RBT6,STM32F072RB,STM32F072RBTx,128 kBytes,16 kBytes
STM32F072RBT6TR,STM32F072RB,STM32F072RBTx,128 kBytes,16 kBytes
STM32F072RBT7,STM32F072RB,STM32F072RBTx,128 kBytes,16 kBytes
STM32F072RBT7TR,STM32F072RB,STM32F072RBTx,128 kBytes,16 kBytes
STM32F072V8H6,STM32F072V8,STM32F072V8Hx,64 kBytes,16 kBytes
STM32F072V8T6,STM32F072V8,STM32F072V8Tx,64 kBytes,16 kBytes
STM32F072VBH6,STM32F072VB,STM32F072VBHx,128 kBytes,16 kBytes
STM32F072VBH6TR,STM32F072VB,STM32F072VBHx,128 kBytes,16 kBytes
STM32F072VBH7,STM32F072VB,STM32F072VBHx,128 kBytes,16 kBytes
STM32F072VBT6,STM32F072VB,STM32F072VBTx,128 kBytes,16 kBytes
STM32F072VBT6TR,STM32F072VB,STM32F072VBTx,128 kBytes,16 kBytes
STM32F078CBT6,STM32F078CB,STM32F078CBTx,128 kBytes,16 kBytes
STM32F078CBU6,STM32F078CB,STM32F078CBUx,128 kBytes,16 kBytes
STM32F078CBU6TR,STM32F078CB,STM32F078CBUx,128 kBytes,16 kBytes
STM32F078CBY6TR,STM32F078CB,STM32F078CBYx,128 kBytes,16 kBytes
STM32F078RBH6TR,STM32F078RB,STM32F078RBHx,128 kBytes,16 kBytes
STM32F078RBH7TR,STM32F078RB,STM32F078RBHx,128 kBytes,16 kBytes
STM32F078RBT6,STM32F078RB,STM32F078RBTx,128 kBytes,16 kBytes
STM32F078VBH6,STM32F078VB,STM32F078VBHx,128 kBytes,16 kBytes
STM32F078VBH6TR,STM32F078VB,STM32F078VBHx,128 kBytes,16 kBytes
STM32F078VBT6,STM32F078VB,STM32F078VBTx,128 kBytes,16 kBytes
STM32F091CBT6,STM32F091CB,STM32F091CBTx,128 kBytes,32 kBytes
STM32F091CBT6TR,STM32F091CB,STM32F091CBTx,128 kBytes,32 kBytes
STM32F091CBT7,STM32F091CB,STM32F091CBTx,128 kBytes,32 kBytes
STM32F091CBT7TR,STM32F091CB,STM32F091CBTx,128 kBytes,32 kBytes
STM32F091CBU6,STM32F091CB,STM32F091CBUx,128 kBytes,32 kBytes
STM32F091CBU6TR,STM32F091CB,STM32F091CBUx,128 kBytes,32 kBytes
STM32F091CCT6,STM32F091CC,STM32F091CCTx,256 kBytes,32 kBytes
STM32F091CCT6J,STM32F091CC,STM32F091CCTx,256 kBytes,32 kBytes
STM32F091CCT6TR,STM32F091CC,STM32F091CCTx,256 kBytes,32 kBytes
STM32F091CCT7,STM32F091CC,STM32F091CCTx,256 kBytes,32 kBytes
STM32F091CCT7TR,STM32F091CC,STM32F091CCTx,256 kBytes,32 kBytes
STM32F091CCU6,STM32F091CC,STM32F091CCUx,256 kBytes,32 kBytes
STM32F091CCU6TR,STM32F091CC,STM32F091CCUx,256 kBytes,32 kBytes
STM32F091CCU7,STM32F091CC,STM32F091CCUx,256 kBytes,32 kBytes
STM32F091CCU7TR,STM32F091CC,STM32F091CCUx,256 kBytes,32 kBytes
STM32F091RBT6,STM32F091RB,STM32F091RBTx,128 kBytes,32 kBytes
STM32F091RCH6,STM32F091RC,STM32F091RCHx,256 kBytes,32 kBytes
STM32F091RCH6TR,STM32F091RC,STM32F091RCHx,256 kBytes,32 kBytes
STM32F091RCH7,STM32F091RC,STM32F091RCHx,256 kBytes,32 kBytes
STM32F091RCT6,STM32F091RC,STM32F091RCTx,256 kBytes,32 kBytes
STM32F091RCT6J,STM32F091RC,STM32F091RCTx,256 kBytes,32 kBytes
STM32F091RCT6TR,STM32F091RC,STM32F091RCTx,256 kBytes,32 kBytes
STM32F091RCT7,STM32F091RC,STM32F091RCTx,256 kBytes,32 kBytes
STM32F091RCY6TR,STM32F091RC,STM32F091RCYx,256 kBytes,32 kBytes
STM32F091RCY7TR,STM32F091RC,STM32F091RCYx,256 kBytes,32 kBytes
STM32F091VBT6,STM32F091VB,STM32F091VBTx,128 kBytes,32 kBytes
STM32F091VBT7,STM32F091VB,STM32F091VBTx,128 kBytes,32 kBytes
STM32F091VCH6,STM32F091VC,STM32F091VCHx,256 kBytes,32 kBytes
STM32F091VCH7,STM32F091VC,STM32F091VCHx,256 kBytes,32 kBytes
STM32F091VCT6,STM32F091VC,STM32F091VCTx,256 kBytes,32 kBytes
STM32F091VCT6TR,STM32F091VC,STM32F091VCTx,256 kBytes,32 kBytes
STM32F091VCT7,STM32F091VC,STM32F091VCTx,256 kBytes,32 kBytes
STM32F091VCT7TR,STM32F091VC,STM32F091VCTx,256 kBytes,32 kBytes
STM32F098CCT6,STM32F098CC,STM32F098CCTx,256 kBytes,32 kBytes
STM32F098CCT7,STM32F098CC,STM32F098CCTx,256 kBytes,32 kBytes
STM32F098CCU6,STM32F098CC,STM32F098CCUx,256 kBytes,32 kBytes
STM32F098CCU6TR,STM32F098CC,STM32F098CCUx,256 kBytes,32 kBytes
STM32F098RCH6,STM32F098RC,STM32F098RCHx,256 kBytes,32 kBytes
STM32F098RCT6,STM32F098RC,STM32F098RCTx,256 kBytes,32 kBytes
STM32F098RCY6TR,STM32F098RC,STM32F098RCYx,256 kBytes,32 kBytes
STM32F098VCH6,STM32F098VC,STM32F098VCHx,256 kBytes,32 kBytes
STM32F098VCH6TR,STM32F098VC,STM32F098VCHx,256 kBytes,32 kBytes
STM32F098VCT6,STM32F098VC,STM32F098VCTx,256 kBytes,32 kBytes
STM32F100C4T6B,STM32F100C4,STM32F100C4Tx,16 kBytes,4 kBytes
STM32F100C4T6BTR,STM32F100C4,STM32F100C4Tx,16 kBytes,4 kBytes
STM32F100C4T7B,STM32F100C4,STM32F100C4Tx,16 kBytes,4 kBytes
STM32F100C6T6B,STM32F100C6,STM32F100C6Tx,32 kBytes,4 kBytes
STM32F100C6T6BTR,STM32F100C6,STM32F100C6Tx,32 kBytes,4 kBytes
STM32F100C6T7B,STM32F100C6,STM32F100C6Tx,32 kBytes,4 kBytes
STM32F100C6T7BTR,STM32F100C6,STM32F100C6Tx,32 kBytes,4 kBytes
STM32F100C8T6B,STM32F100C8,STM32F100C8Tx,64 kBytes,8 kBytes
STM32F100C8T6BTR,STM32F100C8,STM32F100C8Tx,64 kBytes,8 kBytes
STM32F100C8T7B,STM32F100C8,STM32F100C8Tx,64 kBytes,8 kBytes
STM32F100C8T7BTR,STM32F100C8,STM32F100C8Tx,64 kBytes,8 kBytes
STM32F100CBT6B,STM32F100CB,STM32F100CBTx,128 kBytes,8 kBytes
STM32F100CBT6BTR,STM32F100CB,STM32F100CBTx,128 kBytes,8 kBytes
STM32F100CBT7B,STM32F100CB,STM32F100CBTx,128 kBytes,8 kBytes
STM32F100CBT7BTR,STM32F100CB,STM32F100CBTx,128 kBytes,8 kBytes
STM32F100R4H6B,STM32F100R4,STM32F100R4Hx,16 kBytes,4 kBytes
STM32F100R4T6B,STM32F100R4,STM32F100R4Tx,16 kBytes,4 kBytes
STM32F100R4T6BTR,STM32F100R4,STM32F100R4Tx,16 kBytes,4 kBytes
STM32F100R6H6B,STM32F100R6,STM32F100R6Hx,32 kBytes,4 kBytes
STM32F100R6T6B,STM32F100R6,STM32F100R6Tx,32 kBytes,4 kBytes
